0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.2104,-0.4258,-0.0656,N,0,0,0,0,0,0,0,0,0,0,0,0
2.3354,-0.1154,-0.0679,C,0,0,0,0,0,0,0,0,0,0,0,0
3.7565,0.0079,-0.0705,C,0,0,0,0,0,0,0,0,0,0,0,0
4.4709,-1.2242,-0.0720,C,0,0,0,0,0,0,0,0,0,0,0,0
5.8648,-1.2771,-0.0745,C,0,0,0,0,0,0,0,0,0,0,0,0
6.5965,-0.0750,-0.0756,C,0,0,0,0,0,0,0,0,0,0,0,0
5.9400,1.1733,-0.0742,C,0,0,0,0,0,0,0,0,0,0,0,0
6.6812,2.3778,-0.0753,C,0,0,0,0,0,0,0,0,0,0,0,0
6.0574,3.6314,-0.0739,C,0,0,0,0,0,0,0,0,0,0,0,0
4.6467,3.7517,-0.0713,C,0,0,0,0,0,0,0,0,0,0,0,0
3.9804,4.9925,-0.0697,C,0,0,0,0,0,0,0,0,0,0,0,0
2.5758,5.0155,-0.0670,C,0,0,0,0,0,0,0,0,0,0,0,0
1.8961,3.7853,-0.0661,C,0,0,0,0,0,0,0,0,0,0,0,0
2.4940,2.5928,-0.0675,N,0,0,0,0,0,0,0,0,0,0,0,0
3.8472,2.5353,-0.0701,C,0,0,0,0,0,0,0,0,0,0,0,0
4.4842,1.2540,-0.0715,C,0,0,0,0,0,0,0,0,0,0,0,0
3.8899,-2.1485,-0.0711,H,0,0,0,0,0,0,0,0,0,0,0,0
6.3769,-2.2405,-0.0756,H,0,0,0,0,0,0,0,0,0,0,0,0
7.6891,-0.0943,-0.0776,H,0,0,0,0,0,0,0,0,0,0,0,0
7.7729,2.3225,-0.0773,H,0,0,0,0,0,0,0,0,0,0,0,0
6.6686,4.5381,-0.0747,H,0,0,0,0,0,0,0,0,0,0,0,0
4.5621,5.9178,-0.0706,H,0,0,0,0,0,0,0,0,0,0,0,0
2.0198,5.9542,-0.0658,H,0,0,0,0,0,0,0,0,0,0,0,0
0.7993,3.7688,-0.0642,H,0,0,0,0,0,0,0,0,0,0,0,0
